name,tourism,geometry,latitude,longitude
小油坑,attraction,POINT (121.5476114 25.1753902),25.1753902,121.5476114
自來水園區,attraction,POINT (121.530364 25.0133837),25.0133837,121.530364
黃氏節孝坊,attraction,POINT (121.5154958 25.0429124),25.0429124,121.5154958
急公好義牌坊,attraction,POINT (121.5142824 25.041085),25.041085,121.5142824
林蔭大道,viewpoint,POINT (121.5353591 25.0077832),25.0077832,121.5353591
物理文物廳,museum,POINT (121.5360138 25.0168993),25.0168993,121.5360138
台大校史館,museum,POINT (121.5353367 25.0177677),25.0177677,121.5353367
昆蟲標本館,museum,POINT (121.5407706 25.0110786),25.0110786,121.5407706
動物博物館,museum,POINT (121.5389738 25.0155926),25.0155926,121.5389738
臺大檔案館,museum,POINT (121.5287319 25.013943),25.013943,121.5287319
人類學博物館,museum,POINT (121.5349327 25.017795),25.017795,121.5349327
龍船岩,viewpoint,POINT (121.5969437 25.1005266),25.1005266,121.5969437
共同三松,attraction,POINT (121.5374785 25.0157102),25.0157102,121.5374785
芝山岩,viewpoint,POINT (121.5301896 25.1032692),25.1032692,121.5301896
弘法大師紀念碑,attraction,POINT (121.5096101 25.1340534),25.1340534,121.5096101
夫妻樹 (紅楠),attraction,POINT (121.5890521 25.1019066),25.1019066,121.5890521
順益台灣原住民博物館,museum,POINT (121.5520367 25.1010057),25.1010057,121.5520367
成功高中昆蟲館,museum,POINT (121.5232306 25.0433917),25.0433917,121.5232306
風櫃嘴觀景台,viewpoint,POINT (121.6026426 25.1371492),25.1371492,121.6026426
波切不動明王尊,attraction,POINT (121.5097269 25.1341006),25.1341006,121.5097269
熱海岩場頂部,viewpoint,POINT (121.5132511 25.134142),25.134142,121.5132511
太子亭遺跡,attraction,POINT (121.5432324 25.148061),25.148061,121.5432324
袖珍博物館,museum,POINT (121.5361672 25.0502862),25.0502862,121.5361672
長榮海事博物館,museum,POINT (121.5187561 25.038662),25.038662,121.5187561
荷風閣,viewpoint,POINT (121.5111447 25.0316361),25.0316361,121.5111447
觀景點,viewpoint,POINT (121.5327262 25.1035886),25.1035886,121.5327262
鄭南榕自由紀念館,museum,POINT (121.5455665 25.061535),25.061535,121.5455665
夢幻湖觀景台,viewpoint,POINT (121.5604093 25.1669557),25.1669557,121.5604093
恐龍接吻石,attraction,POINT (121.5529708 25.1692721),25.1692721,121.5529708
七星錐(祭壇、月形池),attraction,POINT (121.5531916 25.169082),25.169082,121.5531916
孫運璿科技．人文紀念館,museum,POINT (121.5115224 25.0335779),25.0335779,121.5115224
大邱田石壁洞,attraction,POINT (121.6066294 25.1065832),25.1065832,121.6066294
彩繪階梯,attraction,POINT (121.5332533 25.0429157),25.0429157,121.5332533
一線天,attraction,POINT (121.5764559 25.0282361),25.0282361,121.5764559
百年楓香觀景台,viewpoint,POINT (121.5321208 25.1558152),25.1558152,121.5321208
大砥石,attraction,POINT (121.5209672 25.07198),25.07198,121.5209672
